Date : 2024-05-23 19:16:39
Directory : c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src
Total : 259 files,  64723 codes, 961 comments, 6584 blanks, all 72268 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| app\theme\layout\admin\navigation\nav-content\nav-group                                                                                                |          3 |         51 |          5 |          7 |         63 |
| app\theme\layout\admin\navigation\nav-content\nav-item                                                                                                 |          3 |         81 |          4 |          8 |         93 |
| app\theme\layout\admin\navigation\nav-logo                                                                                                             |          3 |         33 |          3 |          5 |         41 |
| app\theme\layout\guest                                                                                                                                 |          3 |          8 |          1 |          4 |         13 |
| app\theme\shared                                                                                                                                       |         13 |        563 |         16 |         58 |        637 |
| app\theme\shared (Files)                                                                                                                               |          1 |         37 |          4 |          9 |         50 |
| app\theme\shared\components                                                                                                                            |         12 |        526 |         12 |         49 |        587 |
| app\theme\shared\components\breadcrumbs                                                                                                                |          3 |        124 |          2 |         10 |        136 |
| app\theme\shared\components\card                                                                                                                       |          3 |        214 |          6 |         18 |        238 |
| app\theme\shared\components\full-screen                                                                                                                |          1 |         30 |          4 |          6 |         40 |
| app\theme\shared\components\spinner                                                                                                                    |          5 |        158 |          0 |         15 |        173 |
| app\theme\shared\components\spinner (Files)                                                                                                            |          4 |        100 |          0 |          8 |        108 |
| app\theme\shared\components\spinner\spinkit-css                                                                                                        |          1 |         58 |          0 |          7 |         65 |
| assets                                                                                                                                                 |         13 |     34,694 |         12 |      2,138 |     36,844 |
| assets\charts                                                                                                                                          |         11 |     26,178 |          0 |         12 |     26,190 |
| assets\charts\amchart                                                                                                                                  |         11 |     26,178 |          0 |         12 |     26,190 |
| assets\charts\amchart (Files)                                                                                                                          |          9 |     26,158 |          0 |          9 |     26,167 |
| assets\charts\amchart\images                                                                                                                           |          2 |         20 |          0 |          3 |         23 |
| assets\icon                                                                                                                                            |          2 |      8,516 |         12 |      2,126 |     10,654 |
| assets\icon\icofont                                                                                                                                    |          2 |      8,516 |         12 |      2,126 |     10,654 |
| assets\icon\icofont\css                                                                                                                                |          1 |      6,400 |         12 |      2,125 |      8,537 |
| assets\icon\icofont\fonts                                                                                                                              |          1 |      2,116 |          0 |          1 |      2,117 |
| environments                                                                                                                                           |          2 |         10 |         11 |          5 |         26 |
| fake-data                                                                                                                                              |          2 |        144 |          0 |          3 |        147 |
| scss                                                                                                                                                   |         42 |     15,423 |        224 |      1,807 |     17,454 |
| scss (Files)                                                                                                                                           |          4 |        923 |         79 |        166 |      1,168 |
| scss\fonts                                                                                                                                             |         23 |     12,272 |         63 |      1,263 |     13,598 |
| scss\fonts\feather                                                                                                                                     |          2 |      1,011 |          7 |        736 |      1,754 |
| scss\fonts\feather (Files)                                                                                                                             |          1 |        746 |          4 |        244 |        994 |
| scss\fonts\feather\fonts                                                                                                                               |          1 |        265 |          3 |        492 |        760 |
| scss\fonts\fontawesome                                                                                                                                 |         21 |     11,261 |         56 |        527 |     11,844 |
| scss\fonts\fontawesome\scss                                                                                                                            |         18 |      7,196 |         56 |        524 |      7,776 |
| scss\fonts\fontawesome\webfonts                                                                                                                        |          3 |      4,065 |          0 |          3 |      4,068 |
| scss\menu                                                                                                                                              |          1 |      1,242 |         21 |        209 |      1,472 |
| scss\mixins                                                                                                                                            |          2 |        192 |          4 |         21 |        217 |
| scss\plugins                                                                                                                                           |          2 |         23 |          0 |          2 |         25 |
| scss\theme-elements                                                                                                                                    |         10 |        771 |         57 |        146 |        974 |
+--------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                                               | language   | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\app-config.ts                                                                      | TypeScript |         10 |          0 |          9 |         19 |
| c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\app-routing.module.ts                                                              | TypeScript |        145 |          0 |         40 |        185 |
| c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\app.component.html                                                                 | HTML       |          1 |          0 |          1 |          2 |
| c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\app.component.scss                                                                 | SCSS       |          0 |          0 |          1 |          1 |
| c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\app.component.ts                                                                   | TypeScript |         21 |          0 |          5 |         26 |
| c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\app.module.ts                                                                      | TypeScript |         65 |          2 |          7 |         74 |
| c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\chart\apex-chart\apex-chart.component.html                                    | HTML       |         82 |          0 |          1 |         83 |
| c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\chart\apex-chart\apex-chart.component.scss                                    | SCSS       |          0 |          0 |          1 |          1 |
| c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\chart\apex-chart\apex-chart.component.ts                                      | TypeScript |        316 |          3 |          7 |        326 |
| c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\dashboard\dashboard.component.html                                            | HTML       |        195 |          0 |          1 |        196 |
| c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\dashboard\dashboard.component.scss                                            | SCSS       |          0 |          0 |          1 |          1 |
| c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\dashboard\dashboard.component.ts                                              | TypeScript |        355 |          4 |         21 |        380 |
| c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\SoldProducts\service\soldservice.ts                                     | TypeScript |        140 |          6 |         37 |        183 |
| c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\SoldProducts\sold-products\sold-products.component.html                 | HTML       |         90 |          0 |         16 |        106 |
| c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\SoldProducts\sold-products\sold-products.component.scss                 | SCSS       |         26 |         13 |         12 |         51 |
| c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\SoldProducts\sold-products\sold-products.component.spec.ts              | TypeScript |         18 |          0 |          6 |         24 |
| c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\SoldProducts\sold-products\sold-products.component.ts                   | TypeScript |        175 |         24 |         69 |        268 |
| c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\SoldProducts\soldproduct-form\soldproduct-form.component.html           | HTML       |        112 |          3 |         27 |        142 |
| c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\SoldProducts\soldproduct-form\soldproduct-form.component.scss           | SCSS       |         68 |          1 |         23 |         92 |
| c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\SoldProducts\soldproduct-form\soldproduct-form.component.spec.ts        | TypeScript |         18 |          0 |          6 |         24 |
| c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\SoldProducts\soldproduct-form\soldproduct-form.component.ts             | TypeScript |        352 |         14 |        135 |        501 |
| c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\Stock\service\models.ts                                                 | TypeScript |        186 |          0 |         42 |        228 |
| c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\Stock\service\stockService.ts                                           | TypeScript |         57 |          0 |         17 |         74 |
| c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\Stock\stock-form\stock-form.component.html                              | HTML       |         50 |          4 |          7 |         61 |
| c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\Stock\stock-form\stock-form.component.scss                              | SCSS       |          0 |          0 |          1 |          1 |
| c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\Stock\stock-form\stock-form.component.spec.ts                           | TypeScript |         18 |          0 |          6 |         24 |
| c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\Stock\stock-form\stock-form.component.ts                                | TypeScript |        135 |          3 |         41 |        179 |
| c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\Stock\stock\stock.component.html                                        | HTML       |         46 |          0 |          7 |         53 |
| c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\Stock\stock\stock.component.scss                                        | SCSS       |         30 |         13 |          9 |         52 |
| c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\Stock\stock\stock.component.spec.ts                                     | TypeScript |         18 |          0 |          6 |         24 |
| c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\Stock\stock\stock.component.ts                                          | TypeScript |        116 |          3 |         43 |        162 |
| c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\cashiers\cashiers.component.html                                        | HTML       |         81 |          0 |         12 |         93 |
| c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\cashiers\cashiers.component.scss                                        | SCSS       |          3 |          0 |          1 |          4 |
| c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\cashiers\cashiers.component.spec.ts                                     | TypeScript |         18 |          0 |          6 |         24 |
| c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\cashiers\cashiers.component.ts                                          | TypeScript |        123 |          3 |         46 |        172 |
| c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\cashiers\userService.ts                                                 | TypeScript |         94 |          2 |         35 |        131 |
| c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\combo\combo-form\combo-form.component.html                              | HTML       |         75 |         18 |         29 |        122 |
| c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\combo\combo-form\combo-form.component.scss                              | SCSS       |         43 |          0 |         12 |         55 |
| c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\combo\combo-form\combo-form.component.spec.ts                           | TypeScript |         18 |          0 |          6 |         24 |
| c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\combo\combo-form\combo-form.component.ts                                | TypeScript |        229 |          9 |         73 |        311 |
| c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\combo\combo.component.html                                              | HTML       |         97 |          0 |         37 |        134 |
| c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\combo\combo.component.scss                                              | SCSS       |         26 |         11 |          9 |         46 |
| c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\combo\combo.component.spec.ts                                           | TypeScript |         18 |          0 |          6 |         24 |
| c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\combo\combo.component.ts                                                | TypeScript |        166 |          8 |         57 |        231 |
| c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\combo\comboService.ts                                                   | TypeScript |         70 |          2 |         26 |         98 |
| c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\discount\discount-form\discount-form.component.html                     | HTML       |         90 |          0 |         36 |        126 |
| c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\discount\discount-form\discount-form.component.scss                     | SCSS       |         58 |          2 |         20 |         80 |
| c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\discount\discount-form\discount-form.component.spec.ts                  | TypeScript |         18 |          0 |          6 |         24 |
| c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\discount\discount-form\discount-form.component.ts                       | TypeScript |        250 |          3 |         73 |        326 |
| c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\discount\discountService.ts                                             | TypeScript |         49 |          0 |         24 |         73 |
| c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\discount\discounts\discounts.component.html                             | HTML       |         80 |          1 |         17 |         98 |
| c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\discount\discounts\discounts.component.scss                             | SCSS       |         30 |         11 |         10 |         51 |
| c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\discount\discounts\discounts.component.spec.ts                          | TypeScript |         18 |          0 |          6 |         24 |
| c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\discount\discounts\discounts.component.ts                               | TypeScript |        129 |         15 |         63 |        207 |
| c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\establishments\Service\EstablishmentService.ts                          | TypeScript |         90 |          3 |         40 |        133 |
| c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\establishments\Service\establishment.model.ts                           | TypeScript |         20 |          0 |          9 |         29 |
| c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\establishments\addestab\addestab.component.html                         | HTML       |        100 |         15 |         29 |        144 |
| c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\establishments\addestab\addestab.component.scss                         | SCSS       |         16 |          0 |          5 |         21 |
| c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\establishments\addestab\addestab.component.spec.ts                      | TypeScript |         18 |          0 |          6 |         24 |
| c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\establishments\addestab\addestab.component.ts                           | TypeScript |        350 |         12 |         93 |        455 |
| c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\establishments\establishments.component.html                            | HTML       |         52 |          2 |          2 |         56 |
| c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\establishments\establishments.component.scss                            | SCSS       |          6 |          0 |          3 |          9 |
| c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\establishments\establishments.component.spec.ts                         | TypeScript |         18 |          0 |          6 |         24 |
| c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\establishments\establishments.component.ts                              | TypeScript |        148 |          8 |         40 |        196 |
| c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\notificationService.ts                                                  | TypeScript |         20 |          0 |          9 |         29 |
| c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\payment\CanDeactivateGuard.ts                                           | TypeScript |          3 |          9 |          1 |         13 |
| c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\payment\OrderGuard.ts                                                   | TypeScript |         20 |          1 |          4 |         25 |
| c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\payment\clients\clientService.ts                                        | TypeScript |         69 |          2 |         26 |         97 |
| c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\payment\clients\clients.component.html                                  | HTML       |         11 |          0 |          5 |         16 |
| c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\payment\clients\clients.component.scss                                  | SCSS       |         73 |          0 |         18 |         91 |
| c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\payment\clients\clients.component.spec.ts                               | TypeScript |         18 |          0 |          6 |         24 |
| c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\payment\clients\clients.component.ts                                    | TypeScript |        155 |          1 |         34 |        190 |
| c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\payment\orderService.ts                                                 | TypeScript |         53 |          2 |         28 |         83 |
| c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\payment\payment.component.html                                          | HTML       |         39 |          1 |         14 |         54 |
| c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\payment\payment.component.scss                                          | SCSS       |        100 |          2 |         28 |        130 |
| c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\payment\payment.component.spec.ts                                       | TypeScript |         18 |          0 |          6 |         24 |
| c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\payment\payment.component.ts                                            | TypeScript |        280 |          6 |         71 |        357 |
| c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\pos\itemService.ts                                                      | TypeScript |         58 |          3 |         26 |         87 |
| c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\pos\open-orders\open-orders.component.html                              | HTML       |         13 |          0 |          2 |         15 |
| c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\pos\open-orders\open-orders.component.scss                              | SCSS       |         47 |          0 |          7 |         54 |
| c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\pos\open-orders\open-orders.component.spec.ts                           | TypeScript |         18 |          0 |          6 |         24 |
| c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\pos\open-orders\open-orders.component.ts                                | TypeScript |         40 |          0 |         12 |         52 |
| c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\pos\pos.component.html                                                  | HTML       |        149 |         23 |         32 |        204 |
| c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\pos\pos.component.scss                                                  | SCSS       |        265 |         73 |        124 |        462 |
| c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\pos\pos.component.spec.ts                                               | TypeScript |         18 |          0 |          6 |         24 |
| c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\pos\pos.component.ts                                                    | TypeScript |        520 |         92 |        150 |        762 |
| c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\sample-page\sample-page.component.html                                  | HTML       |          7 |          0 |          2 |          9 |
| c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\sample-page\sample-page.component.scss                                  | SCSS       |          0 |          0 |          1 |          1 |
| c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\sample-page\sample-page.component.ts                                    | TypeScript |         10 |          0 |          2 |         12 |
